iter	Passed	Remaining
0	206	206199
1	246	122977
2	283	94250
3	328	81677
4	377	75042
5	422	69918
6	460	65274
7	501	62155
8	541	59592
9	580	57514
10	618	55624
11	657	54126
12	694	52710
13	729	51353
14	765	50282
15	803	49422
16	847	48979
17	884	48272
18	922	47619
19	961	47112
20	997	46524
21	1033	45965
22	1070	45475
23	1109	45117
24	1144	44632
25	1178	44130
26	1214	43750
27	1246	43287
28	1279	42837
29	1314	42488
30	1349	42179
31	1383	41858
32	1418	41560
33	1453	41296
34	1485	40953
35	1519	40698
36	1552	40414
37	1585	40142
38	1618	39876
39	1652	39659
40	1685	39415
41	1719	39224
42	1752	39005
43	1787	38845
44	1820	38633
45	1855	38484
46	1890	38336
47	1924	38160
48	1959	38032
49	1993	37874
50	2027	37722
51	2060	37558
52	2093	37407
53	2127	37277
54	2162	37157
55	2194	36989
56	2227	36846
57	2259	36694
58	2292	36559
59	2326	36444
60	2359	36314
61	2392	36188
62	2427	36109
63	2462	36007
64	2495	35902
65	2527	35771
66	2560	35653
67	2596	35586
68	2631	35507
69	2664	35401
70	2697	35288
71	2728	35161
72	2760	35058
73	2792	34947
74	2826	34864
75	2859	34759
76	2892	34674
77	2925	34577
78	2955	34458
79	2988	34367
80	3021	34284
81	3051	34166
82	3084	34078
83	3120	34030
84	3158	33996
85	3190	33911
86	3223	33827
87	3257	33764
88	3289	33673
89	3324	33611
90	3356	33526
91	3386	33426
92	3420	33354
93	3456	33316
94	3492	33268
95	3526	33206
96	3558	33127
97	3595	33090
98	3628	33019
99	3660	32948
100	3694	32888
101	3729	32831
102	3761	32757
103	3791	32664
104	3821	32572
105	3855	32514
106	3891	32474
107	3924	32409
108	3961	32384
109	3994	32320
110	4028	32261
111	4060	32196
112	4094	32136
113	4127	32075
114	4163	32039
115	4196	31978
116	4228	31914
117	4260	31844
118	4293	31784
119	4323	31704
120	4355	31636
121	4384	31556
122	4416	31491
123	4446	31413
124	4482	31374
125	4514	31312
126	4545	31243
127	4605	31373
128	4643	31353
129	4676	31299
130	4714	31272
131	4745	31206
132	4775	31131
133	4808	31078
134	4843	31031
135	4880	31003
136	4916	30969
137	4951	30928
138	4984	30876
139	5021	30843
140	5056	30804
141	5091	30761
142	5126	30723
143	5164	30697
144	5200	30664
145	5239	30648
146	5276	30615
147	5314	30592
148	5347	30544
149	5382	30502
150	5418	30467
151	5452	30419
152	5489	30391
153	5539	30429
154	5571	30372
155	5602	30311
156	5633	30251
157	5665	30189
158	5695	30127
159	5730	30084
160	5761	30025
161	5792	29963
162	5822	29896
163	5856	29852
164	5885	29783
165	5921	29748
166	5952	29689
167	5982	29625
168	6015	29580
169	6048	29528
170	6079	29470
171	6113	29429
172	6143	29369
173	6178	29331
174	6210	29276
175	6243	29232
176	6278	29194
177	6313	29155
178	6346	29106
179	6375	29042
180	6408	28998
181	6440	28947
