Feature,Importance
rolling_mean_7,34.080865879383005
ema_30,15.931552244885108
rolling_mean_30,9.745651943314398
ema_7,7.538274871116319
weekday,6.390079639074817
sales_lag_7,5.267501195473196
weekday_sin,4.010431571121606
sales_lag_14,3.981752530545632
expanding_mean,2.977561805025866
weekday_cos,2.4312526408984767
month_cos,1.8806033194766327
month,1.5568920321561248
is_weekend,1.1905500894859755
day,1.1294001742352515
month_sin,0.9149874611794825
weekofyear,0.5003198996609524
sales_lag_1,0.29998631727896014
year,0.08733944216776642
sales_lag_30,0.03429536140954807
sales_lag_60,0.026981845099247843
sales_lag_90,0.01433369325438621
rolling_std_30,0.00595303614646006
rolling_std_7,0.0031559129572763657
item,0.000277094653506057
store,0.0
